"word","results","seed","hansardcount","valence","manualflag"
"demagogic",0.759904416779502,0,15,"Anger",0
"deriding",0.759342782379228,0,58,"Anger",0
"monicker",0.759169011113048,0,1,"Anger",0
"deirdre",0.758011285557839,0,34,"Anger",1
"solicitation",0.757994358282506,0,13,"Anger",0
"rogerson",0.757947897355004,0,156,"Anger",1
"deceitful",0.757403524160451,0,171,"Anger",0
"nightingales",0.757335320678618,0,33,"Anger",0
"constrictor",0.757239265682517,0,10,"Anger",0
"penitent",0.756999529598944,0,9,"Anger",0
"joya",0.756795920888249,0,12,"Anger",1
"reproached",0.756671596151176,0,11,"Anger",0
"flogged",0.756577240411701,0,76,"Anger",0
"sneers",0.756161885034854,0,56,"Anger",0
"marj",0.755887894940382,0,1,"Anger",1
"castrating",0.755881929520106,0,5,"Anger",0
"speciesism",0.755595732170547,0,2,"Anger",0
"mccloskey",0.75493842800299,0,18,"Anger",1
"egging",0.754510376247326,0,133,"Anger",0
"mistreating",0.754470077012851,0,14,"Anger",0
"coercing",0.753906487108186,0,52,"Anger",0
"taunted",0.753587007904613,0,55,"Anger",0
"chana",0.753486634054046,0,3,"Anger",1
"ridiculing",0.752107308704716,0,51,"Anger",0
"obscene",0.751744217677942,0,852,"Anger",0
"bagman",0.751339128907756,0,6,"Anger",0
"vocative",0.751181901883544,0,1,"Anger",0
"hefted",0.751175622750117,0,15,"Anger",0
"satanist",0.751052178524763,0,8,"Anger",0
"sympathising",0.750882382540072,0,33,"Anger",0
"crucifying",0.750871995883568,0,23,"Anger",0
"carborundum",0.750591998974223,0,1,"Anger",1
"semite",0.750189750340425,0,19,"Anger",0
"denigrated",0.749807569767644,0,187,"Anger",0
"accosting",0.749436205064496,0,3,"Anger",0
"heresy",0.749218368644956,0,66,"Anger",0
"contemptuously",0.748192424493176,0,61,"Anger",0
"misogynistic",0.74779673871973,0,42,"Anger",0
"dissing",0.747380830584165,0,11,"Anger",0
"remonstrance",0.746723674668602,0,10,"Anger",0
"pigheaded",0.746679604490418,0,8,"Anger",0
"railed",0.746327457145343,0,94,"Anger",0
"disdainful",0.74604782209436,0,28,"Anger",0
"innuendos",0.745991839227531,0,26,"Anger",0
"anaerobe",0.745991107415604,0,2,"Anger",0
"sexist",0.745956547723357,0,220,"Anger",0
"headlock",0.745168101191019,0,3,"Anger",0
"vara",0.744987566583515,0,83,"Anger",1
"insulted",0.744833254631144,0,323,"Anger",0
"sympathised",0.744799846338627,0,81,"Anger",0
"cartlidge",0.744562007860156,0,26,"Anger",1
"maginn",0.744370075982855,0,8,"Anger",1
"eschews",0.744040011208185,0,21,"Anger",0
"baiting",0.743885231183423,0,217,"Anger",0
"barracking",0.743485396292701,0,150,"Anger",0
"decapitates",0.743110095675014,0,2,"Anger",0
"trew",0.74258406041027,0,1,"Anger",1
"brandished",0.742254532457043,0,22,"Anger",0
"ravings",0.741154820205562,0,17,"Anger",0
"contenting",0.740993095150905,0,2,"Anger",0
"sodomy",0.740790763474876,0,15,"Anger",0
"indignantly",0.740307135873091,0,11,"Anger",0
"bitters",0.740125621011422,0,6,"Anger",0
"vehemence",0.739981882449597,0,90,"Anger",0
"smirks",0.739452465207181,0,24,"Anger",0
"vilifying",0.739308167901112,0,39,"Anger",0
"uce",0.739127238971175,0,1,"Anger",1
"gesticulated",0.73890512203972,0,3,"Anger",0
"cassock",0.738436803221079,0,1,"Anger",0
"dismissively",0.738387976661754,0,65,"Anger",0
"kini",0.737535959972391,0,1,"Anger",1
"hogshead",0.736598755637551,0,1,"Anger",0
"bridles",0.736377217625606,0,1,"Anger",0
"disbelieves",0.73599381669435,0,13,"Anger",0
